Number,FeelingNewCasino,CasinoFitToronto,Standalone,Complex,onlyCasino,noCasino,Convention Centre Space,Culture and Arts Facilities,Hotel,Nightclubs,Restaurants,Retail,Theatre,Other,Gender
153,Strongly opposed,Fits Image Perfectly,Neutral or Mixed Feelings,Strongly Unsuitable,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Transgender
154,Strongly in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Transgender
155,Strongly opposed,Fits Image Somewhat,Strongly Unsuitable,Strongly Unsuitable,1,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Transgender
156,Strongly in favour,Fits Image Somewhat,Somewhat Suitable,Highly Suitable,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Female
157,Somewhat in favour,Does Not Fit at All,Somewhat Suitable,Highly Suitable,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male
158,Neutral or mixed feelings,Neutral,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Female
159,Strongly opposed,Neutral,Somewhat Suitable,Strongly Unsuitable,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Female
160,Neutral or mixed feelings,Fits Image Perfectly,Neutral or Mixed Feelings,Highly Suitable,0,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Male
161,Somewhat in favour,Does Not Fit at All,Neutral or Mixed Feelings,Strongly Unsuitable,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Female
162,Strongly in favour,Fits Image Perfectly,Somewhat Suitable,Somewhat Suitable,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Male
163,Somewhat opposed,Fits Image Perfectly,Strongly Unsuitable,Strongly Unsuitable,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female
164,Somewhat opposed,Fits Image Somewhat,Somewhat Unsuitable,Strongly Unsuitable,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male
165,Strongly opposed,Fits Image Somewhat,Somewhat Unsuitable,Somewhat Suitable,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Male
166,Somewhat in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Strongly Unsuitable,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Male
167,Neutral or mixed feelings,Neutral,Somewhat Unsuitable,Somewhat Suitable,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Female
168,Somewhat opposed,Neutral,Strongly Unsuitable,Neutral or Mixed Feelings,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Transgender
169,Strongly in favour,Fits Image Somewhat,Somewhat Unsuitable,Neutral or Mixed Feelings,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Transgender
170,Somewhat opposed,Fits Image Perfectly,Somewhat Unsuitable,Somewhat Unsuitable,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Male
171,Neutral or mixed feelings,Fits Image Perfectly,Somewhat Unsuitable,Strongly Unsuitable,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Female
172,Neutral or mixed feelings,Neutral,Somewhat Unsuitable,Neutral or Mixed Feelings,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Male
173,Somewhat in favour,Fits Image Somewhat,Somewhat Suitable,Highly Suitable,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Female
174,Strongly in favour,Fits Image Somewhat,Somewhat Suitable,Somewhat Suitable,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Female
175,Somewhat opposed,Neutral,Strongly Unsuitable,Strongly Unsuitable,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Male
176,Somewhat in favour,Does Not Fit at All,Highly Suitable,Somewhat Suitable,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Male
177,Strongly opposed,Fits Image Perfectly,Highly Suitable,Somewhat Unsuitable,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Female
178,Strongly in favour,Does Not Fit at All,Strongly Unsuitable,Somewhat Unsuitable,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Female
179,Strongly in favour,Neutral,Neutral or Mixed Feelings,Strongly Unsuitable,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Male
180,Strongly in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Highly Suitable,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Female
181,Neutral or mixed feelings,Fits Image Perfectly,Neutral or Mixed Feelings,Somewhat Unsuitable,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Male
182,Somewhat opposed,Fits Image Perfectly,Neutral or Mixed Feelings,Highly Suitable,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Male
183,Somewhat in favour,Fits Image Somewhat,Highly Suitable,Highly Suitable,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male
184,Strongly in favour,Does Not Fit at All,Somewhat Unsuitable,Somewhat Unsuitable,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Female
185,Strongly opposed,Does Not Fit at All,Somewhat Unsuitable,Neutral or Mixed Feelings,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Male
186,Strongly in favour,Neutral,Somewhat Suitable,Somewhat Suitable,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Transgender
187,Somewhat opposed,Does Not Fit at All,Strongly Unsuitable,Strongly Unsuitable,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Male
188,Strongly opposed,Neutral,Highly Suitable,Somewhat Unsuitable,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male
189,Neutral or mixed feelings,Does Not Fit at All,Somewhat Unsuitable,Neutral or Mixed Feelings,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Female
190,Somewhat opposed,Fits Image Perfectly,Somewhat Unsuitable,Highly Suitable,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Male
191,Somewhat opposed,Fits Image Perfectly,Highly Suitable,Strongly Unsuitable,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Transgender
192,Strongly opposed,Fits Image Perfectly,Somewhat Unsuitable,Neutral or Mixed Feelings,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Transgender
193,Somewhat opposed,Does Not Fit at All,Strongly Unsuitable,Neutral or Mixed Feelings,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Transgender
194,Neutral or mixed feelings,Neutral,Strongly Unsuitable,Somewhat Suitable,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Transgender
195,Neutral or mixed feelings,Fits Image Perfectly,Neutral or Mixed Feelings,Neutral or Mixed Feelings,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Transgender
196,Strongly in favour,Fits Image Perfectly,Strongly Unsuitable,Somewhat Unsuitable,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Female
197,Strongly opposed,Fits Image Somewhat,Highly Suitable,Somewhat Unsuitable,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male
198,Strongly opposed,Fits Image Perfectly,Somewhat Unsuitable,Somewhat Suitable,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Transgender
199,Strongly in favour,Neutral,Strongly Unsuitable,Somewhat Suitable,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Transgender
200,Neutral or mixed feelings,Does Not Fit at All,Somewhat Suitable,Somewhat Suitable,1,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Male
201,Strongly in favour,Fits Image Perfectly,Somewhat Suitable,Highly Suitable,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Female
202,Somewhat opposed,Fits Image Somewhat,Somewhat Unsuitable,Somewhat Suitable,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Female
203,Strongly in favour,Does Not Fit at All,Highly Suitable,Somewhat Unsuitable,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Female
204,Somewhat in favour,Fits Image Somewhat,Strongly Unsuitable,Somewhat Unsuitable,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Transgender
205,Somewhat in favour,Fits Image Somewhat,Strongly Unsuitable,Neutral or Mixed Feelings,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Female
206,Neutral or mixed feelings,Neutral,Somewhat Unsuitable,Somewhat Suitable,0,1,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Female
207,Neutral or mixed feelings,Fits Image Somewhat,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Male
208,Strongly opposed,Fits Image Somewhat,Somewhat Suitable,Highly Suitable,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Transgender
209,Somewhat opposed,Neutral,Somewhat Unsuitable,Somewhat Unsuitable,1,1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Female
210,Strongly opposed,Does Not Fit at All,Strongly Unsuitable,Neutral or Mixed Feelings,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Transgender
211,Somewhat in favour,Neutral,Somewhat Unsuitable,Neutral or Mixed Feelings,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Transgender
212,Neutral or mixed feelings,Does Not Fit at All,Somewhat Unsuitable,Highly Suitable,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Female
213,Strongly in favour,Fits Image Somewhat,Somewhat Suitable,Somewhat Unsuitable,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Transgender
214,Neutral or mixed feelings,Fits Image Somewhat,Highly Suitable,Strongly Unsuitable,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Transgender
215,Strongly in favour,Fits Image Perfectly,Strongly Unsuitable,Somewhat Suitable,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Transgender
216,Neutral or mixed feelings,Neutral,Somewhat Unsuitable,Somewhat Suitable,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Female
217,Strongly opposed,Neutral,Somewhat Unsuitable,Neutral or Mixed Feelings,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Female
218,Somewhat opposed,Neutral,Neutral or Mixed Feelings,Strongly Unsuitable,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Female
219,Strongly in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Strongly Unsuitable,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Transgender
220,Strongly opposed,Fits Image Perfectly,Somewhat Unsuitable,Neutral or Mixed Feelings,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Female
221,Strongly in favour,Neutral,Neutral or Mixed Feelings,Somewhat Suitable,0,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Female
222,Strongly opposed,Neutral,Neutral or Mixed Feelings,Somewhat Suitable,1,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Female
223,Neutral or mixed feelings,Fits Image Perfectly,Somewhat Unsuitable,Somewhat Suitable,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Transgender
224,Strongly opposed,Fits Image Somewhat,Strongly Unsuitable,Somewhat Suitable,0,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Female
225,Neutral or mixed feelings,Neutral,Highly Suitable,Neutral or Mixed Feelings,1,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Male
226,Somewhat opposed,Does Not Fit at All,Neutral or Mixed Feelings,Somewhat Unsuitable,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Transgender
227,Somewhat opposed,Neutral,Strongly Unsuitable,Neutral or Mixed Feelings,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Transgender
228,Somewhat opposed,Does Not Fit at All,Strongly Unsuitable,Somewhat Suitable,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Male
229,Strongly in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Highly Suitable,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Female
230,Somewhat opposed,Neutral,Somewhat Suitable,Somewhat Unsuitable,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Male
231,Strongly in favour,Fits Image Perfectly,Somewhat Unsuitable,Strongly Unsuitable,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Female
232,Strongly in favour,Neutral,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Transgender
233,Strongly in favour,Fits Image Somewhat,Strongly Unsuitable,Somewhat Suitable,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Male
234,Somewhat opposed,Fits Image Somewhat,Highly Suitable,Somewhat Suitable,1,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Transgender
235,Neutral or mixed feelings,Neutral,Somewhat Unsuitable,Somewhat Suitable,1,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Male
236,Somewhat opposed,Fits Image Somewhat,Highly Suitable,Highly Suitable,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female
237,Somewhat opposed,Neutral,Somewhat Unsuitable,Somewhat Suitable,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Male
238,Somewhat in favour,Neutral,Highly Suitable,Strongly Unsuitable,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Male
239,Neutral or mixed feelings,Fits Image Somewhat,Neutral or Mixed Feelings,Somewhat Unsuitable,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Transgender
240,Somewhat in favour,Neutral,Highly Suitable,Somewhat Suitable,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female
241,Somewhat opposed,Fits Image Perfectly,Somewhat Suitable,Highly Suitable,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Female
242,Strongly in favour,Does Not Fit at All,Neutral or Mixed Feelings,Highly Suitable,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Female
243,Somewhat in favour,Does Not Fit at All,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Transgender
244,Somewhat opposed,Neutral,Somewhat Suitable,Strongly Unsuitable,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Male
245,Strongly opposed,Fits Image Somewhat,Somewhat Suitable,Strongly Unsuitable,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Transgender
246,Neutral or mixed feelings,Does Not Fit at All,Somewhat Suitable,Somewhat Unsuitable,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Female
247,Somewhat in favour,Does Not Fit at All,Highly Suitable,Strongly Unsuitable,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Female
248,Somewhat in favour,Neutral,Neutral or Mixed Feelings,Somewhat Suitable,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Male
249,Strongly opposed,Neutral,Somewhat Suitable,Somewhat Suitable,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male
250,Neutral or mixed feelings,Fits Image Somewhat,Somewhat Suitable,Strongly Unsuitable,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Female
251,Somewhat opposed,Neutral,Neutral or Mixed Feelings,Somewhat Suitable,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Female
252,Neutral or mixed feelings,Does Not Fit at All,Highly Suitable,Neutral or Mixed Feelings,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Female
253,Neutral or mixed feelings,Fits Image Somewhat,Strongly Unsuitable,Neutral or Mixed Feelings,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Transgender
254,Somewhat opposed,Fits Image Somewhat,Somewhat Suitable,Somewhat Suitable,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Female
255,Somewhat opposed,Fits Image Perfectly,Neutral or Mixed Feelings,Strongly Unsuitable,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Transgender
256,Somewhat in favour,Neutral,Somewhat Unsuitable,Somewhat Unsuitable,1,1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Female
257,Strongly in favour,Fits Image Perfectly,Somewhat Suitable,Highly Suitable,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Male
258,Somewhat in favour,Fits Image Perfectly,Somewhat Suitable,Neutral or Mixed Feelings,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Female
259,Strongly opposed,Fits Image Somewhat,Highly Suitable,Somewhat Suitable,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male
260,Somewhat in favour,Fits Image Perfectly,Strongly Unsuitable,Somewhat Suitable,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Transgender
261,Strongly opposed,Neutral,Strongly Unsuitable,Strongly Unsuitable,0,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Male
262,Neutral or mixed feelings,Neutral,Neutral or Mixed Feelings,Highly Suitable,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Transgender
263,Somewhat opposed,Fits Image Somewhat,Neutral or Mixed Feelings,Somewhat Suitable,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Male
264,Strongly in favour,Does Not Fit at All,Highly Suitable,Highly Suitable,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Male
265,Strongly opposed,Does Not Fit at All,Somewhat Suitable,Somewhat Suitable,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Transgender
266,Neutral or mixed feelings,Fits Image Somewhat,Somewhat Suitable,Highly Suitable,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Female
267,Strongly opposed,Fits Image Somewhat,Somewhat Unsuitable,Somewhat Suitable,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male
268,Somewhat opposed,Fits Image Perfectly,Strongly Unsuitable,Strongly Unsuitable,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Transgender
269,Neutral or mixed feelings,Fits Image Perfectly,Strongly Unsuitable,Strongly Unsuitable,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Male
270,Strongly opposed,Fits Image Somewhat,Strongly Unsuitable,Somewhat Unsuitable,1,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Female
271,Strongly in favour,Neutral,Somewhat Suitable,Somewhat Suitable,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Female
272,Somewhat in favour,Fits Image Perfectly,Somewhat Suitable,Somewhat Suitable,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Female
273,Somewhat opposed,Fits Image Perfectly,Somewhat Suitable,Highly Suitable,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Male
274,Strongly in favour,Fits Image Somewhat,Neutral or Mixed Feelings,Somewhat Suitable,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Female
275,Neutral or mixed feelings,Neutral,Neutral or Mixed Feelings,Highly Suitable,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Transgender
276,Strongly opposed,Does Not Fit at All,Highly Suitable,Neutral or Mixed Feelings,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Transgender
277,Somewhat in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Transgender
278,Strongly opposed,Does Not Fit at All,Highly Suitable,Somewhat Suitable,1,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Transgender
279,Strongly in favour,Fits Image Somewhat,Strongly Unsuitable,Strongly Unsuitable,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Female
280,Strongly in favour,Does Not Fit at All,Strongly Unsuitable,Highly Suitable,1,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Transgender
281,Somewhat in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Somewhat Unsuitable,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Transgender
282,Strongly in favour,Does Not Fit at All,Strongly Unsuitable,Neutral or Mixed Feelings,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Transgender
283,Strongly opposed,Fits Image Perfectly,Highly Suitable,Somewhat Suitable,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Transgender
284,Strongly opposed,Does Not Fit at All,Neutral or Mixed Feelings,Strongly Unsuitable,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Male
285,Somewhat opposed,Does Not Fit at All,Neutral or Mixed Feelings,Strongly Unsuitable,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Female
286,Somewhat in favour,Fits Image Somewhat,Neutral or Mixed Feelings,Strongly Unsuitable,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Transgender
287,Strongly opposed,Fits Image Perfectly,Neutral or Mixed Feelings,Highly Suitable,0,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Transgender
288,Strongly in favour,Neutral,Strongly Unsuitable,Somewhat Suitable,1,1,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Transgender
289,Strongly in favour,Fits Image Somewhat,Highly Suitable,Somewhat Unsuitable,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Female
290,Strongly in favour,Fits Image Somewhat,Somewhat Unsuitable,Somewhat Unsuitable,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Female
291,Strongly in favour,Neutral,Highly Suitable,Strongly Unsuitable,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Female
292,Somewhat in favour,Neutral,Strongly Unsuitable,Strongly Unsuitable,0,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Transgender
293,Somewhat opposed,Fits Image Perfectly,Somewhat Unsuitable,Neutral or Mixed Feelings,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Male
294,Somewhat opposed,Neutral,Somewhat Unsuitable,Neutral or Mixed Feelings,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Female
295,Strongly opposed,Does Not Fit at All,Highly Suitable,Somewhat Unsuitable,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Female
296,Strongly in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Strongly Unsuitable,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Female
297,Strongly in favour,Fits Image Somewhat,Somewhat Unsuitable,Strongly Unsuitable,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Female
298,Strongly in favour,Fits Image Somewhat,Neutral or Mixed Feelings,Somewhat Unsuitable,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Male
299,Strongly opposed,Neutral,Highly Suitable,Neutral or Mixed Feelings,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Male
300,Neutral or mixed feelings,Fits Image Somewhat,Somewhat Unsuitable,Somewhat Unsuitable,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Male
